{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 1.3229999999999999e-05
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.00011907
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 1.323e-05
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 2.43e-06
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 2.7e-07
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.0001026
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 2.565e-05
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.0019493999999999998
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.00048734999999999995
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 6.174e-05
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 2.6460000000000004e-05
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 1.2600000000000002e-06
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 5.400000000000001e-07
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 8.550000000000003e-06
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 7.695000000000001e-05
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.00016245000000000005
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Absent', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.0014620500000000003
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.000261954
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 2.9106000000000002e-05
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 5.346000000000001e-06
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 5.940000000000002e-07
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.025933446000000002
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.002881494
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.000529254
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 5.8806000000000006e-05
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.000135828
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 5.8212e-05
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 2.772e-06
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 1.188e-06
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.013446972
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.005762988
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.000274428
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.000117612
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.002357586
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.000261954
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 4.8114e-05
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 5.346e-06
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'NoVisit', 'LungCancer': 'Absent', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.0
